product_category_name,qtde_produtos,menor_valor,maior_valor,media
agro_industria_e_comercio,74,50.0,30000.0,5263.4054054054
alimentos,82,75.0,8238.0,923.414634146341
alimentos_bebidas,104,50.0,10800.0,1307.93269230769
artes,55,100.0,15400.0,1691.76363636364
artes_e_artesanato,19,100.0,6850.0,1164.57894736842
artigos_de_festas,26,50.0,27050.0,2705.76923076923
artigos_de_natal,65,50.0,15400.0,1849.81538461538
audio,58,100.0,6663.0,641.637931034483
automotivo,1900,50.0,30000.0,2654.65052631579
bebes,919,50.0,30000.0,3655.20152505447
bebidas,81,100.0,9900.0,1736.17283950617
beleza_saude,2444,50.0,30000.0,1434.7937806874
brinquedos,1411,50.0,30000.0,1869.35648476258
cama_mesa_banho,3029,0.0,40425.0,2456.4050841862
casa_conforto,111,100.0,23000.0,3800.45045045045
casa_conforto_2,5,425.0,3750.0,1467.6
casa_construcao,225,50.0,30000.0,3395.71555555556
cds_dvds_musicais,1,550.0,550.0,550.0
cine_foto,28,100.0,5500.0,795.785714285714
climatizacao,124,100.0,23300.0,4459.95967741936
consoles_games,317,50.0,30000.0,636.659305993691
construcao_ferramentas_construcao,400,50.0,30000.0,3550.0525
construcao_ferramentas_ferramentas,39,100.0,4700.0,1047.82051282051
construcao_ferramentas_iluminacao,78,150.0,15750.0,2280.96153846154
construcao_ferramentas_jardim,88,65.0,25750.0,2401.03409090909
construcao_ferramentas_seguranca,91,53.0,9450.0,950.769230769231
cool_stuff,789,50.0,30000.0,2566.57921419518
dvds_blu_ray,48,90.0,2600.0,381.5625
eletrodomesticos,370,50.0,30000.0,1979.65405405405
eletrodomesticos_2,90,250.0,30000.0,9913.33333333333
eletronicos,517,60.0,24050.0,1275.08510638298
eletroportateis,231,50.0,30000.0,4012.39826839827
esporte_lazer,2867,50.0,30000.0,2024.67073596093
fashion_bolsas_e_acessorios,849,50.0,21100.0,426.764428739694
fashion_calcados,173,100.0,9000.0,1044.50867052023
fashion_esporte,19,100.0,1500.0,344.736842105263
fashion_roupa_feminina,27,200.0,1700.0,572.222222222222
fashion_roupa_infanto_juvenil,5,100.0,600.0,324.0
fashion_roupa_masculina,95,100.0,1900.0,559.736842105263
fashion_underwear_e_moda_praia,53,100.0,2300.0,362.264150943396
ferramentas_jardim,753,50.0,30000.0,3103.77689243028
flores,14,200.0,6000.0,1403.57142857143
fraldas_higiene,12,200.0,5100.0,1037.5
industria_comercio_e_negocios,68,200.0,30000.0,5929.19117647059
informatica_acessorios,1639,50.0,24050.0,898.377669310555
instrumentos_musicais,289,50.0,30000.0,3361.03806228374
la_cuisine,10,450.0,12500.0,4350.0
livros_importados,31,150.0,1300.0,596.774193548387
livros_interesse_geral,216,100.0,13300.0,746.611111111111
livros_tecnicos,123,110.0,8900.0,1107.84552845528
malas_acessorios,349,100.0,24500.0,3723.28366762178
market_place,104,50.0,30000.0,1544.10576923077
moveis_colchao_e_estofado,10,1700.0,30000.0,13190.0
moveis_cozinha_area_de_servico_jantar_e_jardim,94,50.0,30000.0,11598.5638297872
moveis_decoracao,2657,2.0,30000.0,3008.26684230335
moveis_escritorio,309,50.0,30000.0,12740.8673139159
moveis_quarto,45,50.0,30000.0,9997.22222222222
moveis_sala,156,400.0,30000.0,8934.84615384615
musica,27,82.0,9750.0,1213.51851851852
papelaria,849,2.0,29000.0,1763.11307420495
pc_gamer,3,650.0,2839.0,1429.66666666667
pcs,30,200.0,25950.0,7995.33333333333
perfumaria,868,50.0,16050.0,529.256912442396
pet_shop,719,50.0,30000.0,3088.85674547983
portateis_casa_forno_e_cafe,31,50.0,16550.0,3071.51612903226
portateis_cozinha_e_preparadores_de_alimentos,10,625.0,10600.0,2517.5
relogios_presentes,1329,50.0,22175.0,509.287434161023
seguros_e_servicos,2,400.0,1225.0,812.5
sinalizacao_e_seguranca,93,100.0,27100.0,2969.81720430108
tablets_impressao_imagem,9,100.0,1100.0,381.444444444444
telefonia,1134,50.0,8100.0,236.506172839506
telefonia_fixa,116,50.0,6050.0,660.827586206897
utilidades_domesticas,2335,50.0,30000.0,3020.79357601713
