UF,avg_receita_cliente,receita_total_estado
AC,199.14,15930.97
AL,198.63,78855.72
AM,152.8,22155.84
AP,199.62,13374.81
BA,151.59,493584.14
CE,171.82,219757.38
DF,142.55,296498.41
ES,134.66,268643.45
GO,144.53,282836.7
MA,163.19,117009.38
MG,136.73,1552481.83
MS,164.66,115429.97
MT,171.77,152191.62
PA,184.43,174470.59
PB,217.77,112586.82
PE,158.12,251889.49
PI,177.99,84721.0
PR,135.3,666063.51
RJ,142.48,1759651.13
RN,173.22,82105.66
RO,187.99,45682.76
RR,172.13,7057.47
RS,136.37,728897.47
SC,142.98,507012.13
SE,168.88,56574.19
SP,125.12,5067633.16
TO,176.65,48402.51
