UF,receita_total,avg_receita_seller,qtde_sellers
AM,1177.0,1177.0,1
BA,277925.51,15440.31,18
CE,19517.84,1626.49,12
DF,94840.31,3161.34,30
ES,46941.64,2133.71,22
GO,64806.59,1661.71,39
MA,36097.98,36097.98,1
MG,977866.31,4143.5,236
MS,8551.69,1710.34,5
MT,17007.82,4251.95,4
PA,1238.0,1238.0,1
PB,16395.5,2732.58,6
PE,91164.15,10129.35,9
PI,2383.0,2383.0,1
PR,1232096.99,3677.9,335
RJ,820611.59,5034.43,163
RN,9992.6,1998.52,5
RO,4762.2,2381.1,2
RS,373412.08,2987.3,125
SC,613591.65,3334.74,184
SE,1606.2,803.1,2
SP,8509511.46,4810.35,1769
