product_category_name,receita
beleza_saude,1258681.33999997
relogios_presentes,1205005.68
cama_mesa_banho,1036988.68000007
esporte_lazer,988048.97000004
informatica_acessorios,911954.320000039
moveis_decoracao,729762.490000041
cool_stuff,635290.850000001
utilidades_domesticas,632248.660000021
automotivo,592720.110000011
ferramentas_jardim,485256.460000015
brinquedos,483946.600000005
bebes,411764.890000004
perfumaria,399124.870000001
telefonia,323667.529999989
moveis_escritorio,273960.699999997
papelaria,230943.229999996
pcs,222963.13
pet_shop,214315.409999997
instrumentos_musicais,191498.879999999
eletroportateis,190648.579999999
NULL,179535.279999998
eletronicos,160246.739999997
consoles_games,157465.219999999
fashion_bolsas_e_acessorios,152823.539999998
construcao_ferramentas_construcao,144677.59
malas_acessorios,140429.979999998
eletrodomesticos_2,113317.74
casa_construcao,83088.12
eletrodomesticos,80171.5300000001
agro_industria_e_comercio,72530.47
moveis_sala,68916.5600000002
telefonia_fixa,59583.0
casa_conforto,58572.0400000002
climatizacao,55024.9600000001
audio,50688.5000000001
portateis_casa_forno_e_cafe,47445.71
livros_interesse_geral,46856.8800000002
moveis_cozinha_area_de_servico_jantar_e_jardim,46328.3700000001
construcao_ferramentas_iluminacao,41080.0000000001
construcao_ferramentas_seguranca,40544.52
industria_comercio_e_negocios,39669.61
alimentos,29393.4100000002
market_place,28378.4700000001
construcao_ferramentas_jardim,25715.89
artes,24202.64
fashion_calcados,23562.7700000001
bebidas,22428.7
sinalizacao_e_seguranca,21509.23
moveis_quarto,20028.78
livros_tecnicos,19096.06
construcao_ferramentas_ferramentas,15903.95
alimentos_bebidas,15179.48
fashion_roupa_masculina,10797.82
fashion_underwear_e_moda_praia,9541.54999999999
artigos_de_natal,8800.81999999999
tablets_impressao_imagem,7528.41
cine_foto,6933.46
musica,6034.35
dvds_blu_ray,5999.39
livros_importados,4639.85
artigos_de_festas,4485.18
moveis_colchao_e_estofado,4368.08
portateis_cozinha_e_preparadores_de_alimentos,3968.53
fashion_roupa_feminina,2803.64
fashion_esporte,2119.51
la_cuisine,2054.99
artes_e_artesanato,1814.01
fraldas_higiene,1567.59
pc_gamer,1545.95
flores,1110.04
casa_conforto_2,760.27
cds_dvds_musicais,730.0
fashion_roupa_infanto_juvenil,569.85
seguros_e_servicos,283.29
