product_category_name,qtde_pedidos
cama_mesa_banho,9417
beleza_saude,8836
esporte_lazer,7720
informatica_acessorios,6689
moveis_decoracao,6449
utilidades_domesticas,5884
relogios_presentes,5624
telefonia,4199
automotivo,3897
brinquedos,3886
cool_stuff,3632
ferramentas_jardim,3518
perfumaria,3162
bebes,2885
eletronicos,2550
papelaria,2311
fashion_bolsas_e_acessorios,1864
pet_shop,1710
NULL,1451
moveis_escritorio,1273
consoles_games,1062
malas_acessorios,1034
eletrodomesticos,764
construcao_ferramentas_construcao,748
eletroportateis,630
instrumentos_musicais,628
livros_interesse_geral,512
casa_construcao,490
alimentos,450
moveis_sala,422
casa_conforto,397
audio,350
bebidas,297
market_place,280
livros_tecnicos,260
climatizacao,253
moveis_cozinha_area_de_servico_jantar_e_jardim,248
construcao_ferramentas_iluminacao,244
fashion_calcados,240
industria_comercio_e_negocios,235
eletrodomesticos_2,234
alimentos_bebidas,227
telefonia_fixa,217
artes,202
construcao_ferramentas_jardim,194
agro_industria_e_comercio,182
pcs,181
construcao_ferramentas_seguranca,167
sinalizacao_e_seguranca,140
artigos_de_natal,128
fashion_underwear_e_moda_praia,121
fashion_roupa_masculina,112
construcao_ferramentas_ferramentas,97
moveis_quarto,95
tablets_impressao_imagem,79
portateis_casa_forno_e_cafe,75
cine_foto,65
dvds_blu_ray,59
livros_importados,53
artigos_de_festas,39
fashion_roupa_feminina,39
moveis_colchao_e_estofado,38
musica,38
flores,29
fashion_esporte,27
fraldas_higiene,27
casa_conforto_2,24
artes_e_artesanato,23
portateis_cozinha_e_preparadores_de_alimentos,14
la_cuisine,13
cds_dvds_musicais,12
fashion_roupa_infanto_juvenil,8
pc_gamer,8
seguros_e_servicos,2
